filename,file_size_bytes,word_count,analysis_model,json_model,step1_input_tokens,step1_output_tokens,step1_cost_usd,step2_input_tokens,step2_output_tokens,step2_cost_usd,total_tokens,total_cost_usd,output_file,status,error_message,analyst,processed_at
audiofile-686587675035.txt,2133,394,gpt-4o,gpt-4o-mini,1461,1215,0.015803,2576,994,0.000983,6246,0.016785,audiofile-686587675035_extracted.json,success,,Halibu A,2026-01-08T20:26:22.328936
audiofile-686587675806.txt,2156,402,gpt-4o,gpt-4o-mini,1488,1093,0.014650,2454,989,0.000962,6024,0.015612,audiofile-686587675806_extracted.json,success,,Halibu A,2026-01-08T20:33:48.786533
audiofile-686587676800.txt,6158,1182,gpt-4o,gpt-4o-mini,2685,1159,0.018302,2520,894,0.000914,7258,0.019217,audiofile-686587676800_extracted.json,success,,Halibu A,2026-01-08T20:38:21.739145
audiofile-686587677399.txt,9833,1675,gpt-4o,gpt-4o-mini,4259,1102,0.021667,2463,1087,0.001022,8911,0.022689,audiofile-686587677399_extracted.json,success,,Halibu A,2026-01-08T20:38:58.923506
audiofile-686587678751.txt,1765,341,gpt-4o,gpt-4o-mini,1383,1126,0.014718,2487,975,0.000958,5971,0.015676,audiofile-686587678751_extracted.json,success,,Halibu A,2026-01-08T20:39:34.528736
audiofile-686587679788.txt,3781,701,gpt-4o,gpt-4o-mini,2020,1183,0.016880,2544,1004,0.000984,6751,0.017864,audiofile-686587679788_extracted.json,success,,Halibu A,2026-01-08T20:40:21.465466
audiofile-686587680051.txt,3511,667,gpt-4o,gpt-4o-mini,1812,1007,0.014600,2368,1064,0.000994,6251,0.015594,audiofile-686587680051_extracted.json,success,,Halibu A,2026-01-08T20:41:02.944999
audiofile-686587680365.txt,6036,1126,gpt-4o,gpt-4o-mini,2711,1149,0.018267,2510,1053,0.001008,7423,0.019276,audiofile-686587680365_extracted.json,success,,Halibu A,2026-01-08T20:54:05.742758
audiofile-686587681425.txt,12353,2283,gpt-4o,gpt-4o-mini,4992,1259,0.025070,2620,785,0.000864,9656,0.025934,audiofile-686587681425_extracted.json,success,,Halibu A,2026-01-08T20:54:44.979276
audiofile-686587692602.txt,3074,583,gpt-4o,gpt-4o-mini,1841,1226,0.016862,2587,998,0.000987,6652,0.017849,audiofile-686587692602_extracted.json,success,,Halibu A,2026-01-08T20:55:30.816172
audiofile-686587696034.txt,5795,1087,gpt-4o,gpt-4o-mini,2659,1289,0.019537,2650,1127,0.001074,7725,0.020611,audiofile-686587696034_extracted.json,success,,Halibu A,2026-01-08T20:56:17.389315
audiofile-686587700159.txt,8726,1648,gpt-4o,gpt-4o-mini,3490,1132,0.020045,2493,1041,0.000999,8156,0.021044,audiofile-686587700159_extracted.json,success,,Halibu A,2026-01-08T20:57:01.488718
audiofile-686587701812.txt,1934,365,gpt-4o,gpt-4o-mini,1424,1130,0.014860,2491,991,0.000968,6036,0.015828,audiofile-686587701812_extracted.json,success,,Halibu A,2026-01-08T20:57:35.747660
audiofile-686587704804.txt,2310,429,gpt-4o,gpt-4o-mini,1496,960,0.013340,2321,807,0.000832,5584,0.014172,audiofile-686587704804_extracted.json,success,,Halibu A,2026-01-08T20:58:11.304908
audiofile-686587709127.txt,3487,690,gpt-4o,gpt-4o-mini,1879,997,0.014667,2358,781,0.000822,6015,0.015490,audiofile-686587709127_extracted.json,success,,Halibu A,2026-01-08T20:58:46.712907
audiofile-686587716378.txt,7141,1363,gpt-4o,gpt-4o-mini,2915,1352,0.020807,2713,1051,0.001038,8031,0.021845,audiofile-686587716378_extracted.json,success,,Halibu A,2026-01-08T20:59:38.283142
audiofile-686587720535.txt,4691,888,gpt-4o,gpt-4o-mini,2274,1160,0.017285,2521,1039,0.001002,6994,0.018287,audiofile-686587720535_extracted.json,success,,Halibu A,2026-01-08T21:00:22.965460
audiofile-686587730126.txt,4048,783,gpt-4o,gpt-4o-mini,2047,1072,0.015838,2433,1124,0.001039,6676,0.016877,audiofile-686587730126_extracted.json,success,,Halibu A,2026-01-08T21:01:16.567295
audiofile-686587752160.txt,5846,1096,gpt-4o,gpt-4o-mini,2457,1335,0.019493,2696,1137,0.001087,7625,0.020579,audiofile-686587752160_extracted.json,success,,Halibu A,2026-01-08T21:02:16.277165
audiofile-686587755404.txt,4030,764,gpt-4o,gpt-4o-mini,1917,1299,0.017782,2660,1071,0.001042,6947,0.018824,audiofile-686587755404_extracted.json,success,,Halibu A,2026-01-08T21:03:05.527279
audiofile-686587761888.txt,3657,664,gpt-4o,gpt-4o-mini,1990,888,0.013855,2249,741,0.000782,5868,0.014637,audiofile-686587761888_extracted.json,success,,Halibu A,2026-01-08T21:04:56.906521
audiofile-686587765237.txt,2588,480,gpt-4o,gpt-4o-mini,1551,1327,0.017147,2688,1061,0.001040,6627,0.018187,audiofile-686587765237_extracted.json,success,,Halibu A,2026-01-08T21:05:46.907351
audiofile-686587768105.txt,5225,979,gpt-4o,gpt-4o-mini,2355,1066,0.016547,2427,1010,0.000970,6858,0.017518,audiofile-686587768105_extracted.json,success,,Halibu A,2026-01-08T21:06:31.089240
audiofile-686587774690.txt,2647,481,gpt-4o,gpt-4o-mini,1608,1174,0.015760,2535,1036,0.001002,6353,0.016762,audiofile-686587774690_extracted.json,success,,Halibu A,2026-01-08T21:07:13.421509
audiofile-686587777697.txt,3357,632,gpt-4o,gpt-4o-mini,1768,1179,0.016210,2540,831,0.000880,6318,0.017090,audiofile-686587777697_extracted.json,success,,Halibu A,2026-01-08T21:07:57.292571
audiofile-686587780013.txt,3137,565,gpt-4o,gpt-4o-mini,1736,1235,0.016690,2596,796,0.000867,6363,0.017557,audiofile-686587780013_extracted.json,success,,Halibu A,2026-01-08T21:08:40.326111
audiofile-686587781304.txt,5611,1054,gpt-4o,gpt-4o-mini,2710,1176,0.018535,2537,1088,0.001033,7511,0.019568,audiofile-686587781304_extracted.json,success,,Halibu A,2026-01-08T21:09:28.706741
audiofile-686587783791.txt,3564,657,gpt-4o,gpt-4o-mini,1872,1276,0.017440,2637,832,0.000895,6617,0.018335,audiofile-686587783791_extracted.json,success,,Halibu A,2026-01-08T21:10:04.071166
audiofile-686587785285.txt,2700,494,gpt-4o,gpt-4o-mini,1643,1064,0.014748,2425,1012,0.000971,6144,0.015718,audiofile-686587785285_extracted.json,success,,Halibu A,2026-01-08T21:10:36.951234
audiofile-686587787424.txt,3211,607,gpt-4o,gpt-4o-mini,1735,1154,0.015878,2515,1062,0.001014,6466,0.016892,audiofile-686587787424_extracted.json,success,,Halibu A,2026-01-08T21:11:23.758806
audiofile-686587787826.txt,2784,519,gpt-4o,gpt-4o-mini,1602,1143,0.015435,2504,990,0.000970,6239,0.016405,audiofile-686587787826_extracted.json,success,,Halibu A,2026-01-08T21:12:03.391069
audiofile-686587793111.txt,3361,604,gpt-4o,gpt-4o-mini,2013,927,0.014303,2288,827,0.000839,6055,0.015142,audiofile-686587793111_extracted.json,success,,Halibu A,2026-01-08T21:12:42.055932
audiofile-686587793993.txt,3448,628,gpt-4o,gpt-4o-mini,1980,1257,0.017520,2618,1034,0.001013,6889,0.018533,audiofile-686587793993_extracted.json,success,,Halibu A,2026-01-08T21:13:26.664395
audiofile-686587800441.txt,4135,802,gpt-4o,gpt-4o-mini,2050,1293,0.018055,2654,886,0.000930,6883,0.018985,audiofile-686587800441_extracted.json,success,,Halibu A,2026-01-08T21:14:13.157000
audiofile-686587803549.txt,4897,938,gpt-4o,gpt-4o-mini,2258,1146,0.017105,2507,882,0.000905,6793,0.018010,audiofile-686587803549_extracted.json,success,,Halibu A,2026-01-08T21:14:53.641327
audiofile-686587807155.txt,1467,278,gpt-4o,gpt-4o-mini,1227,967,0.012737,2328,982,0.000938,5504,0.013676,audiofile-686587807155_extracted.json,success,,Halibu A,2026-01-08T21:15:29.297080
audiofile-686587809335.txt,4232,782,gpt-4o,gpt-4o-mini,2078,1230,0.017495,2591,823,0.000882,6722,0.018377,audiofile-686587809335_extracted.json,success,,Halibu A,2026-01-08T21:16:09.142690
audiofile-686587814154.txt,4874,936,gpt-4o,gpt-4o-mini,2197,1204,0.017532,2565,1031,0.001003,6997,0.018536,audiofile-686587814154_extracted.json,success,,Halibu A,2026-01-08T21:16:56.442942
audiofile-686587816283.txt,3848,716,gpt-4o,gpt-4o-mini,2026,1111,0.016175,2472,829,0.000868,6438,0.017043,audiofile-686587816283_extracted.json,success,,Halibu A,2026-01-08T21:17:28.194746
audiofile-686587821016.txt,2355,448,gpt-4o,gpt-4o-mini,1490,922,0.012945,2283,819,0.000834,5514,0.013779,audiofile-686587821016_extracted.json,success,,Halibu A,2026-01-08T21:18:10.249648
audiofile-686587822941.txt,1618,307,gpt-4o,gpt-4o-mini,1279,791,0.011107,2152,988,0.000916,5210,0.012023,audiofile-686587822941_extracted.json,success,,Halibu A,2026-01-08T21:18:42.756972
audiofile-686587823452.txt,9496,1816,gpt-4o,gpt-4o-mini,3718,1228,0.021575,2589,1109,0.001054,8644,0.022629,audiofile-686587823452_extracted.json,success,,Halibu A,2026-01-08T21:19:34.076650
audiofile-686587824718.txt,9101,1739,gpt-4o,gpt-4o-mini,3891,1153,0.021257,2514,772,0.000840,8330,0.022098,audiofile-686587824718_extracted.json,success,,Halibu A,2026-01-08T21:20:20.301443
audiofile-686587839845.txt,8015,1520,gpt-4o,gpt-4o-mini,3304,1167,0.019930,2528,1123,0.001053,8122,0.020983,audiofile-686587839845_extracted.json,success,,Halibu A,2026-01-08T21:21:09.693899
audiofile-686587853801.txt,4110,784,gpt-4o,gpt-4o-mini,2112,1123,0.016510,2484,990,0.000967,6709,0.017477,audiofile-686587853801_extracted.json,success,,Halibu A,2026-01-08T21:21:48.810410
audiofile-686587857729.txt,1962,377,gpt-4o,gpt-4o-mini,1364,1196,0.015370,2557,792,0.000859,5909,0.016229,audiofile-686587857729_extracted.json,success,,Halibu A,2026-01-08T21:22:26.598674
audiofile-686587866612.txt,5577,975,gpt-4o,gpt-4o-mini,2860,1151,0.018660,2512,974,0.000961,7497,0.019621,audiofile-686587866612_extracted.json,success,,Halibu A,2026-01-08T21:23:07.919007
audiofile-686587872515.txt,3377,637,gpt-4o,gpt-4o-mini,2012,1224,0.017270,2585,1059,0.001023,6880,0.018293,audiofile-686587872515_extracted.json,success,,Halibu A,2026-01-08T21:23:50.687768
audiofile-686587886408.txt,8333,1578,gpt-4o,gpt-4o-mini,3326,1216,0.020475,2577,1078,0.001033,8197,0.021508,audiofile-686587886408_extracted.json,success,,Halibu A,2026-01-08T21:24:37.785710
audiofile-686587903621.txt,2323,433,gpt-4o,gpt-4o-mini,1513,936,0.013143,2297,748,0.000793,5494,0.013936,audiofile-686587903621_extracted.json,success,,Halibu A,2026-01-08T21:25:10.310134
audiofile-686587904251.txt,2740,513,gpt-4o,gpt-4o-mini,1623,1138,0.015437,2499,745,0.000822,6005,0.016259,audiofile-686587904251_extracted.json,success,,Halibu A,2026-01-08T21:25:44.302416
audiofile-686587906554.txt,3846,712,gpt-4o,gpt-4o-mini,1963,1283,0.017737,2644,1018,0.001007,6908,0.018745,audiofile-686587906554_extracted.json,success,,Halibu A,2026-01-08T21:26:24.184581
audiofile-686587909225.txt,4846,951,gpt-4o,gpt-4o-mini,2312,1280,0.018580,2641,1079,0.001044,7312,0.019624,audiofile-686587909225_extracted.json,success,,Halibu A,2026-01-08T21:27:24.336699
audiofile-686587936950.txt,2300,443,gpt-4o,gpt-4o-mini,1467,1169,0.015357,2530,797,0.000858,5963,0.016215,audiofile-686587936950_extracted.json,success,,Halibu A,2026-01-08T21:27:52.370374
audiofile-686587939281.txt,2233,401,gpt-4o,gpt-4o-mini,1467,1079,0.014458,2440,1034,0.000986,6020,0.015444,audiofile-686587939281_extracted.json,success,,Halibu A,2026-01-08T21:28:28.598698
audiofile-686587940117.txt,4090,782,gpt-4o,gpt-4o-mini,2022,1146,0.016515,2507,1052,0.001007,6727,0.017522,audiofile-686587940117_extracted.json,success,,Halibu A,2026-01-08T21:29:10.685128
audiofile-686588513697.txt,1478,273,gpt-4o,gpt-4o-mini,1220,1129,0.014340,2490,1012,0.000981,5851,0.015321,audiofile-686588513697_extracted.json,success,,Halibu A,2026-01-08T21:29:44.197045
audiofile-686588520422.txt,8733,1649,gpt-4o,gpt-4o-mini,3552,1263,0.021510,2624,1063,0.001031,8502,0.022541,audiofile-686588520422_extracted.json,success,,Halibu A,2026-01-08T21:30:25.478513
audiofile-686588544792.txt,4895,955,gpt-4o,gpt-4o-mini,2267,1195,0.017618,2556,822,0.000877,6840,0.018494,audiofile-686588544792_extracted.json,success,,Halibu A,2026-01-08T21:31:01.295758
audiofile-686588559499.txt,3171,597,gpt-4o,gpt-4o-mini,1789,1013,0.014603,2374,1042,0.000981,6218,0.015584,audiofile-686588559499_extracted.json,success,,Halibu A,2026-01-08T21:31:37.108873
audiofile-686588568280.txt,2004,375,gpt-4o,gpt-4o-mini,1406,1167,0.015185,2528,805,0.000862,5906,0.016047,audiofile-686588568280_extracted.json,success,,Halibu A,2026-01-08T21:32:10.425924
audiofile-686588577252.txt,3081,599,gpt-4o,gpt-4o-mini,1732,1259,0.016920,2620,1015,0.001002,6626,0.017922,audiofile-686588577252_extracted.json,success,,Halibu A,2026-01-08T21:32:50.489646
audiofile-686588583714.txt,2093,386,gpt-4o,gpt-4o-mini,1531,1177,0.015598,2538,981,0.000969,6227,0.016567,audiofile-686588583714_extracted.json,success,,Halibu A,2026-01-08T21:33:27.665404
audiofile-686588607878.txt,2536,467,gpt-4o,gpt-4o-mini,1630,1047,0.014545,2407,1050,0.000991,6134,0.015536,audiofile-686588607878_extracted.json,success,,Halibu A,2026-01-08T21:34:00.588694
audiofile-686588633883.txt,1626,322,gpt-4o,gpt-4o-mini,1285,1140,0.014613,2501,1001,0.000976,5927,0.015588,audiofile-686588633883_extracted.json,success,,Halibu A,2026-01-08T21:34:31.825042
audiofile-686588637827.txt,7040,1312,gpt-4o,gpt-4o-mini,3129,1187,0.019692,2548,1102,0.001043,7966,0.020736,audiofile-686588637827_extracted.json,success,,Halibu A,2026-01-08T21:35:09.446286
audiofile-686588645273.txt,2090,388,gpt-4o,gpt-4o-mini,1438,999,0.013585,2360,980,0.000942,5777,0.014527,audiofile-686588645273_extracted.json,success,,Halibu A,2026-01-08T21:35:46.502673
audiofile-686588649877.txt,2573,496,gpt-4o,gpt-4o-mini,1620,1156,0.015610,2517,976,0.000963,6269,0.016573,audiofile-686588649877_extracted.json,success,,Halibu A,2026-01-08T21:36:24.590936
audiofile-686588652209.txt,4717,896,gpt-4o,gpt-4o-mini,2342,1328,0.019135,2689,1063,0.001041,7422,0.020176,audiofile-686588652209_extracted.json,success,,Halibu A,2026-01-08T21:37:07.734214
audiofile-686588658799.txt,2923,567,gpt-4o,gpt-4o-mini,1712,989,0.014170,2350,859,0.000868,5910,0.015038,audiofile-686588658799_extracted.json,success,,Halibu A,2026-01-08T21:37:43.150278
audiofile-686588665894.txt,4406,824,gpt-4o,gpt-4o-mini,2286,1193,0.017645,2554,1091,0.001038,7124,0.018683,audiofile-686588665894_extracted.json,success,,Halibu A,2026-01-08T21:38:18.907325
audiofile-686588669977.txt,1828,342,gpt-4o,gpt-4o-mini,1354,932,0.012705,2293,968,0.000925,5547,0.013630,audiofile-686588669977_extracted.json,success,,Halibu A,2026-01-08T21:38:58.181004
audiofile-686588702231.txt,3351,629,gpt-4o,gpt-4o-mini,1864,1132,0.015980,2493,1038,0.000997,6527,0.016977,audiofile-686588702231_extracted.json,success,,Halibu A,2026-01-08T21:39:38.406266
audiofile-686588717179.txt,2194,430,gpt-4o,gpt-4o-mini,1408,1339,0.016910,2700,869,0.000926,6316,0.017836,audiofile-686588717179_extracted.json,success,,Halibu A,2026-01-08T21:40:16.303702
audiofile-686588717271.txt,3022,557,gpt-4o,gpt-4o-mini,1720,1150,0.015800,2511,842,0.000882,6223,0.016682,audiofile-686588717271_extracted.json,success,,Halibu A,2026-01-08T21:40:58.384505
audiofile-686588728156.txt,3435,637,gpt-4o,gpt-4o-mini,1853,1163,0.016262,2524,1042,0.001004,6582,0.017266,audiofile-686588728156_extracted.json,success,,Halibu A,2026-01-08T21:41:36.133276
audiofile-686588730351.txt,3565,678,gpt-4o,gpt-4o-mini,1879,1234,0.017038,2595,1058,0.001024,6766,0.018062,audiofile-686588730351_extracted.json,success,,Halibu A,2026-01-08T21:42:24.432529
audiofile-686588734742.txt,1897,351,gpt-4o,gpt-4o-mini,1391,1045,0.013927,2406,999,0.000960,5841,0.014888,audiofile-686588734742_extracted.json,success,,Halibu A,2026-01-08T21:42:56.277889
audiofile-686588736952.txt,2796,539,gpt-4o,gpt-4o-mini,1668,1043,0.014600,2404,1008,0.000965,6123,0.015565,audiofile-686588736952_extracted.json,success,,Halibu A,2026-01-08T21:43:28.364875
audiofile-686588747207.txt,3307,610,gpt-4o,gpt-4o-mini,1862,1296,0.017615,2657,1071,0.001041,6886,0.018656,audiofile-686588747207_extracted.json,success,,Halibu A,2026-01-08T21:44:12.392664
audiofile-686588755296.txt,3680,679,gpt-4o,gpt-4o-mini,2095,1173,0.016967,2534,864,0.000898,6666,0.017866,audiofile-686588755296_extracted.json,success,,Halibu A,2026-01-08T21:44:41.704526
audiofile-686588757598.txt,2435,463,gpt-4o,gpt-4o-mini,1551,994,0.013818,2355,1000,0.000953,5900,0.014771,audiofile-686588757598_extracted.json,success,,Halibu A,2026-01-08T21:45:13.195134
audiofile-686588762059.txt,2606,489,gpt-4o,gpt-4o-mini,1682,1029,0.014495,2390,1027,0.000975,6128,0.015470,audiofile-686588762059_extracted.json,success,,Halibu A,2026-01-08T21:45:45.004964
audiofile-686588769393.txt,4523,838,gpt-4o,gpt-4o-mini,2337,1322,0.019063,2683,1052,0.001034,7394,0.020096,audiofile-686588769393_extracted.json,success,,Halibu A,2026-01-08T21:46:32.891587
audiofile-686588771436.txt,1948,387,gpt-4o,gpt-4o-mini,1431,1111,0.014687,2472,1085,0.001022,6099,0.015709,audiofile-686588771436_extracted.json,success,,Halibu A,2026-01-08T21:47:09.812331
audiofile-686588772941.txt,3309,632,gpt-4o,gpt-4o-mini,1817,1134,0.015883,2495,1065,0.001013,6511,0.016896,audiofile-686588772941_extracted.json,success,,Halibu A,2026-01-08T21:47:45.205163
audiofile-686588776950.txt,2855,548,gpt-4o,gpt-4o-mini,1652,1303,0.017160,2664,1084,0.001050,6703,0.018210,audiofile-686588776950_extracted.json,success,,Halibu A,2026-01-08T21:48:28.455421
audiofile-686588785096.txt,2672,485,gpt-4o,gpt-4o-mini,1676,1118,0.015370,2479,981,0.000960,6254,0.016330,audiofile-686588785096_extracted.json,success,,Halibu A,2026-01-08T21:49:02.288911
audiofile-686588786688.txt,4653,885,gpt-4o,gpt-4o-mini,2179,1224,0.017688,2585,1070,0.001030,7058,0.018717,audiofile-686588786688_extracted.json,success,,Halibu A,2026-01-08T21:49:47.597797
audiofile-686588793695.txt,3009,553,gpt-4o,gpt-4o-mini,1657,1140,0.015543,2501,1012,0.000982,6310,0.016525,audiofile-686588793695_extracted.json,success,,Halibu A,2026-01-08T21:50:24.772940
audiofile-686588801150.txt,3130,592,gpt-4o,gpt-4o-mini,1782,1269,0.017145,2630,1079,0.001042,6760,0.018187,audiofile-686588801150_extracted.json,success,,Halibu A,2026-01-08T21:51:06.954716
audiofile-686588801151.txt,2646,487,gpt-4o,gpt-4o-mini,1705,1078,0.015043,2439,1079,0.001013,6301,0.016056,audiofile-686588801151_extracted.json,success,,Halibu A,2026-01-08T21:51:54.207487
audiofile-686588807254.txt,3491,639,gpt-4o,gpt-4o-mini,1946,1045,0.015315,2406,1019,0.000972,6416,0.016287,audiofile-686588807254_extracted.json,success,,Halibu A,2026-01-08T21:52:45.496683
audiofile-686588808297.txt,1407,265,gpt-4o,gpt-4o-mini,1195,1125,0.014238,2486,772,0.000836,5578,0.015074,audiofile-686588808297_extracted.json,success,,Halibu A,2026-01-08T21:53:20.822037
