ID,Knum,CSPLIT_REC,TSD_NUM,INVOICE,LocCode,SystemDate,ApplicationDate,EventType,BGN01,SF_TRANS,STAT_FLAG,EXT,MSG1,MSG2,MSG3,MSG4,MSG5,MSG6,MSG7,MSG8,MSG9,MSG10,REQUESTED_DAYS,OFOUR_FROM,OFOUR_TO,CONFIRM_NUM,TIMEZONE,EMP_CODE,EMP_LNAME,EMP_FNAME,FIELD_CHANGED,REZ_NUM,csplitid
1815799986,208-SAMPLE0190,0,0,,4832,20251110071232,202511100812.0,4,41,,,,Loc-NAME_REDACTED Contact,NAME_REDACTED : CUSTOMER,NAME_REDACTED NAME_REDACTED,ID_REDACTED,HERTZ.EXE v25.01.00,,,,,NAME_REDACTED NAME_REDACTED NAME_REDACTED NAME_REDACTED,0,,,,1,EMP_0597,,,,208-SAMPLE0468,0
1821027334,000-SAMPLE0339,0,0,,1717,20251216120238,20251216130238.0,3,03,TRANS_REDACTED,B,InsCall,Edi-NAME_REDACTED,18 Day(s) @ 23.24 NAME_REDACTED: 12/19/2025 From: 12/02/2025 / To: 12/26/2025 ,,,EDICAR_TRANS v1.0.0.2,NAME_REDACTED,,,,"18 Day(s) @ 23.24 NAME_REDACTED: 12/19/2025 From: 12/02/2025 / To: 12/26/2025 
",18,,,,1,EMP_0011,EMP,EMP,,,42779827
1818757194,000-SAMPLE0334,0,0,,2358,20251201143532,20251201143532.0,1,187,,,,NAME_REDACTED-NAME_REDACTED for Send DRB NAME_REDACTED,CDP 1162232 NAME_REDACTED = N,,,HERTZ.EXE v25.01.00,,,,,CDP 1162232 NAME_REDACTED option not available for contract PHONE_REDACTED.,0,,,,0,EMP_0575,,,,,0
1822836617,000-SAMPLE0396,0,0,,6130,20251231101214,20251231111214.0,1,52,,,,NAME_REDACTED-DRB Sent,DRB InterFace Successful,,,HERTZ.EXE v25.01.00,,,,,X record for H46092174,0,,,,1,EMP_0205,,,,000-TLSAMPLE0151,0
1820586222,037-SAMPLE0010,0,0,,955,20251212145314,202512121452.0,4,41,,,,Loc-NAME_REDACTED Contact,NAME_REDACTED : CUST,NAME_REDACTED,ID_REDACTED,HERTZ.EXE v25.01.00,,,,,"12/12 lvm/ cw
",0,,,,0,EMP_0039,,,,037-SAMPLE0026,0
1816998167,000-SAMPLE0269,0,0,,444,20251117145635,20251117125635.0,1,22,,,,NAME_REDACTED-NAME_REDACTED,$35.00/day - NAME_REDACTED per day,,,HERTZ.EXE v25.01.00,,,,,"NAME_REDACTED:NAME_REDACTED INSURANCE
Contract #:071706",0,,,,-2,EMP_0231,,,,,0
1816740756,000-SAMPLE0260,0,0,,770,20251114162744,20251114162744.0,1,254,TRANS_REDACTED,2,,RA-eSignerPrint Interface,NAME_REDACTED Accepted by CSR,,,HERTZ.EXE v25.01.00,,,,,,0,,,,0,EMP_0636,,,,037-SAMPLE0248,42736967
1817193348,000-SAMPLE0283,0,0,,625,20251118143225,20251118123225.0,3,04,TRANS_REDACTED,2,,Edi-NAME_REDACTED Update,NAME_REDACTED BODY,,,HERTZ.EXE v25.01.00,,,,,,0,,,,-2,EMP_0316,,,,,42729628
1819007210,000-SAMPLE0273,0,0,,801,20251202155621,20251202135621.0,1,100,TRANS_REDACTED,B,,NAME_REDACTED-NAME_REDACTED,Date/NAME_REDACTED : 11/25/25 13:56,,,HERTZ.EXE v25.01.00,,,,,"NAME_REDACTED: 11/17/2025 14:48
NAME_REDACTED: 11/25/2025 13:56
NAME_REDACTED: 20378   NAME_REDACTED: 20567
NAME_REDACTED: 8   NAME_REDACTED: 8
NAME_REDACTED: 2588   NAME_REDACTED: 2588
NAME_REDACTED Days: 9
NAME_REDACTED: $362.04",0,,,,-2,EMP_0353,,,,037-SAMPLE0258,42740448
1821225902,000-SAMPLE0421,0,0,,527,20251217120844,20251217100844.0,1,229,,,,NAME_REDACTED-NAME_REDACTED NAME_REDACTED,Called IdentifyCustomer from NAME_REDACTED Form,,,HERTZ.EXE v25.01.00,,,,,NAME_REDACTED error returning NAME_REDACTED - No customer was found,0,,,,-2,EMP_0461,,,,,0
1821351746,000-SAMPLE0365,0,0,,12,20251218084726,20251218084831.0,1,28,,,,NAME_REDACTED-NAME_REDACTED Call,NAME_REDACTED Call,,,RCUBSNOTES.EXE v14.0.10,,,,,SW: Mev; SM: Phone; NAME_REDACTED NAME_REDACTED; Reassembly; ETA: 12/26/2025,0,,,,0,EMP_0334,,,,,0
1820636755,000-SAMPLE0337,0,0,,12,20251213001227,20251213001821.0,1,28,,,,NAME_REDACTED-NAME_REDACTED Call,NAME_REDACTED Call,,,RCUBSNOTES.EXE v14.0.10,,,,,SM:CCCOneOther; RO_NUMBER: PHONE_REDACTED; VehYear: 2017; VehMake: FORD; vehModel: Expedition EL Limited 4WD ; RFP: PHONE_REDACTED;  RFN: NAME_REDACTED INC.;  RFID: 9184;,0,,,,0,EMP_0256,,,,,0
1817342279,000-SAMPLE0290,0,0,,507,20251119121447,20251119131447.0,4,52,,,,Loc-NAME_REDACTED Entered,NAME_REDACTED,,,HERTZ.EXE v25.01.00,,,,,"NAME_REDACTED - Successfully entered customer email address 
EMAIL_REDACTED",0,,,,1,EMP_0603,,,,,0
1816631836,000-SAMPLE0226,0,0,,1219,20251114102311,20251114112311.0,1,43,TRANS_REDACTED,2,,NAME_REDACTED-Returned,Date/NAME_REDACTED : 11/14/25 11:22,,,HERTZ.EXE v25.01.00,,,,,"NAME_REDACTED: 11/10/2025 10:30
NAME_REDACTED: 11/14/2025 11:22
NAME_REDACTED: 40104   NAME_REDACTED: 40259
NAME_REDACTED: 8   NAME_REDACTED: 8
NAME_REDACTED: 1207   NAME_REDACTED: 1207
NAME_REDACTED Days: 5
NAME_REDACTED: $202.00",0,,,,1,EMP_0499,,,,037-SAMPLE0162,42708125
1818058297,037-SAMPLE0078,0,0,,4516,20251125063649,20251125073649.0,0,55,,,,Rez-CDP Messaging,CDP: 1162232,,,HERTZ.EXE v25.01.00,,,,,"""SF will pay NAME_REDACTED while your veh is being repaired. We will work with the NAME_REDACTED and advise you of any charges that impact you"". NAME_REDACTED CALL NAME_REDACTED or enter ext req Call PHONE_REDACTED M-F 7am-7pmCST or email EMAIL_REDACTED.",0,,,,1,EMP_0625,,,,,42723880
1822608825,000-SAMPLE0409,0,0,,13,20251229174640,20251229174640.0,1,229,,,,NAME_REDACTED-NAME_REDACTED NAME_REDACTED,Called IdentifyCustomer from NAME_REDACTED,,,HERTZ.EXE v25.01.00,,,,,Successfully returned NAME_REDACTED 91196602,0,,,,0,EMP_0546,,,,,0
1817667464,000-SAMPLE0210,0,0,,5646,20251121110504,20251121110504.0,1,203,,,,NAME_REDACTED-NAME_REDACTED NAME_REDACTED,NAME_REDACTED NAME_REDACTED,,,HERTZ.EXE v25.01.00,,,,,"NAME_REDACTED: 3546-NAME_REDACTED-NAME_REDACTED 11/27/2025 12:00:00 AM-ALERT
NAME_REDACTED: __ / __ / ____",0,,,,0,EMP_0419,,,,,0
1821289679,000-SAMPLE0422,0,0,,1835,20251217154418,20251217164418.0,1,151,,,,NAME_REDACTED-NAME_REDACTED,NAME_REDACTED Made,,,HERTZ.EXE v25.01.00,,,,,"NAME_REDACTED: F
NAME_REDACTED: F
NAME_REDACTED: C",0,,,,1,EMP_0473,,,,,0
1816798343,000-SAMPLE0222,0,0,,541,20251115133058,20251115143058.0,3,08,TRANS_REDACTED,P,InsCall,Edi-NAME_REDACTED,,,,EDICAR_TRANS v1.0.0.2,NAME_REDACTED,,,,NAME_REDACTED NAME_REDACTED,0,,,,1,EMP_0060,EMP,EMP,,,42712906
1818675203,000-SAMPLE0333,0,0,,1230,20251201110911,20251201110911.0,0,25,,,,Rez-Add/NAME_REDACTED Shop,Add/NAME_REDACTED Shop,,,HERTZ.EXE v25.01.00,,,,,NAME_REDACTED: 0 NAME_REDACTED NAME_REDACTED RECORD,0,,,,0,EMP_0434,,,,,0
1819954207,037-SAMPLE0167,0,0,,657,20251209105837,202512090858.0,4,42,,,,Loc-NAME_REDACTED,NAME_REDACTED : ,NAME_REDACTED NAME_REDACTED,ID_REDACTED,HERTZ.EXE v25.01.00,,,,,"2928-lvm-120225
2928-lvm-120325
2928-lvm-120425
2928-lvm-120825
8884 not ready out with work will call in week and a half-12/09",0,,,,-2,EMP_0570,,,,037-SAMPLE0391,0
1822825356,000-SAMPLE0467,0,0,,787,20251231092526,20251231092526.0,1,33,,,,NAME_REDACTED-Add/NAME_REDACTED`s Insurance,GEICO Pol.#  Exp:   /    / ,,,HERTZ.EXE v25.01.00,,,,,,0,,,,0,EMP_0455,,,,,0
1820421246,000-SAMPLE0201,0,0,,372,20251211153816,20251211153816.0,1,52,,,,NAME_REDACTED-DRB Sent,DRB InterFace Successful,,,HERTZ.EXE v25.01.00,,,,,X record for H45195975,0,,,,0,EMP_0441,,,,000-TLSAMPLE0151,0
1816045729,037-SAMPLE0076,0,0,,2608,20251111082329,202511111023.0,4,41,,,,Loc-NAME_REDACTED Contact,NAME_REDACTED : ,NAME_REDACTED,ID_REDACTED,HERTZ.EXE v25.01.00,,,,,"**********NAME_REDACTED**********
",0,,,,2,EMP_0202,,,,037-SAMPLE0205,0
1819405456,000-SAMPLE0233,0,0,,196,20251204185413,20251204165413.0,1,219,,,,NAME_REDACTED-NAME_REDACTED NAME_REDACTED Check,IB-TRANS-IND=ID_REDACTED,,+00,HERTZ.EXE v25.01.00,  ,REDACTED^REDACTED^2908,XXalse^2908,ID_REDACTED,"NAME_REDACTED: 0.00
00 Approved 089503",0,,,XX17,-2,EMP_0194,EMP,,,,0
1816740358,000-SAMPLE0260,0,0,,770,20251114162613,20251114162613.0,1,80,,,,NAME_REDACTED-NAME_REDACTED at Open,NAME_REDACTED : ID_REDACTED,,,HERTZ.EXE v25.01.00,,,,,"NAME_REDACTED Out :26076
NAME_REDACTED Out  :8",0,,,,0,EMP_0636,,,,,0
1821289792,000-SAMPLE0422,0,0,,1835,20251217154438,20251217164438.0,1,80,,,,NAME_REDACTED-NAME_REDACTED at Open,NAME_REDACTED : ID_REDACTED,,,HERTZ.EXE v25.01.00,,,,,"NAME_REDACTED Out :29172
NAME_REDACTED Out  :6",0,,,,1,EMP_0473,,,,,0
1821166857,000-SAMPLE0477,0,0,,12,20251217084857,20251217085426.0,1,28,,,,NAME_REDACTED-NAME_REDACTED Call,NAME_REDACTED Call,,,RCUBSNOTES.EXE v14.0.10,,,,,SW: Joe; SM: Phone; Waiting for Parts; ETA: 12/19/2025; StartLate: Damaged part reorder; PartsExpected: 12/18/2025,0,,,,0,EMP_0400,,,,,0
1816505734,000-SAMPLE0255,0,0,,423,20251113131058,20251113111058.0,1,187,,,,NAME_REDACTED-NAME_REDACTED for Send DRB NAME_REDACTED,CDP 2254353 NAME_REDACTED = N,,,HERTZ.EXE v25.01.00,,,,,CDP 2254353 NAME_REDACTED option not available for contract PHONE_REDACTED.,0,,,,-2,EMP_0105,,,,,0
1819047759,000-SAMPLE0305,0,0,,453,20251203024915,20251203024915.0,1,54,,,,NAME_REDACTED-NAME_REDACTED Failed,CC#: XXXXXXXXXXXXX0744,,,HertzAutoCCAuth v13.6.21847,,,,,"05 NAME_REDACTED Honor
NAME_REDACTED DECLINES. NAME_REDACTED NAME_REDACTED",0,,,,0,EMP_0056,,,,,0
1820253527,000-SAMPLE0338,0,0,,12,20251210165136,20251210165419.0,1,28,,,,NAME_REDACTED-NAME_REDACTED Call,NAME_REDACTED Call,,,RCUBSNOTES.EXE v14.0.10,,,,,SW: Eric; SM: Phone; NAME_REDACTED Available; NAME_REDACTED Hold,0,,,,0,EMP_0370,,,,,0
