CONFIRM_NUM,RENTER_LAST,CLAIM,CDP,CDP NAME,Week Of,INIT_DATE,HTZREGION,SET_STATE,ZONE,AREA_MGR,GENERAL_MGR,RENT_LOC,RES_ID,RENT_IND,CANCEL_ID,UNUSED_IND,CONTACT_GROUP,New Contact Group,CONTACT RANGE,ADJ LNAME,ADJ FNAME,BODY SHOP,CODE,KNUM,MONTH,ZIP,CANCEL REASON,INIT_DT_FINAL,DT_FROM_ALPHA1,DAY_DIF,HRS_DIF,MIN_DIF,MMR
037-SAMPLE0501,CUSTOMER_0501,CLAIM_0501,1238321,CDP_0091,2026-01-19,2026-01-20,WESTERN,CA,SPAC,AREA_MGR_0033,GEN_MGR_0019,7130-01    - DOWNTOWN LA HLE,1,0,1,0,COUNTER,COUNTER,(b)31min - 1hr,,ADJUSTER_0072,BODY_SHOP_0139,STF02,037-SAMPLE0601,202601,ZIP_0301,CUSTOMER CANCELLED,2026-01-20 14:30:00,2026-01-20 15:15:00,0.0,1.0,45.0,NO MMR
037-SAMPLE0502,CUSTOMER_0502,CLAIM_0502,1162232,CDP_0094,2026-01-19,2026-01-21,WESTERN,CA,SPAC,AREA_MGR_0033,GEN_MGR_0019,5725-01    - SANTA MONICA HLE,1,0,0,1,HRD - OKC,HRD - OKC,(c)1-3 hrs,,ADJUSTER_0070,,STF02,037-SAMPLE0602,202601,ZIP_0302, ,2026-01-21 09:00:00,2026-01-21 10:45:00,0.0,2.0,105.0,NO MMR
037-SAMPLE0503,CUSTOMER_0503,CLAIM_0503,1445055,CDP_0089,2026-01-26,2026-01-27,WESTERN,CA,SPAC,AREA_MGR_0033,GEN_MGR_0019,7112-10    - PASADENA HLE,1,0,1,0,NO CONTACT,NO CONTACT,NO CONTACT,,ADJUSTER_0064,BODY_SHOP_0112,STF02,037-SAMPLE0603,202601,ZIP_0303,UNABLE TO REACH,2026-01-27 08:16:00,,,,,NO MMR
037-SAMPLE0504,CUSTOMER_0504,CLAIM_0504,1835059,CDP_0068,2026-01-26,2026-01-28,WESTERN,CA,SPAC,AREA_MGR_0009,GEN_MGR_0056,7616-04    - LONG BEACH HLE,1,0,0,1,NO CONTACT,NO CONTACT,NO CONTACT,,ADJUSTER_0178,,MER01,037-SAMPLE0604,202601,ZIP_0304, ,2026-01-28 12:00:00,,,,,NO MMR
037-SAMPLE0505,CUSTOMER_0505,CLAIM_0505,1936832,CDP_0058,2026-02-02,2026-02-03,WESTERN,CA,SPAC,AREA_MGR_0009,GEN_MGR_0056,5725-02    - ANAHEIM HLE,1,0,1,0,COUNTER,COUNTER,(a)<30min,,ADJUSTER_0155,,GNL01,037-SAMPLE0605,202602,ZIP_0305,CUSTOMER CANCELLED,2026-02-03 10:15:00,2026-02-03 10:30:00,0.0,0.0,15.0,NO MMR
037-SAMPLE0506,CUSTOMER_0506,CLAIM_0506,1238321,CDP_0091,2026-02-02,2026-02-04,WESTERN,CA,SPAC,AREA_MGR_0033,GEN_MGR_0019,6831-01    - SAN DIEGO CENTRAL HLE,1,0,0,1,COUNTER,COUNTER,(c)1-3 hrs,,ADJUSTER_0072,BODY_SHOP_0222,STF02,037-SAMPLE0606,202602,ZIP_0306, ,2026-02-04 11:30:00,2026-02-04 13:00:00,0.0,2.0,90.0,NO MMR
037-SAMPLE0507,CUSTOMER_0507,CLAIM_0507,1513243,CDP_0064,2026-02-02,2026-02-05,WESTERN,CA,SPAC,AREA_MGR_0033,GEN_MGR_0019,5894-02    - LA JOLLA HLE,1,0,1,0,HRD - OKC,HRD - OKC,(d)3-6 hrs,,ADJUSTER_0148,,GNL01,037-SAMPLE0607,202602,ZIP_0307,UNABLE TO REACH,2026-02-05 09:16:00,2026-02-05 13:00:00,0.0,4.0,224.0,NO MMR
037-SAMPLE0508,CUSTOMER_0508,CLAIM_0508,1162232,CDP_0094,2026-02-09,2026-02-10,WESTERN,CA,SPAC,AREA_MGR_0009,GEN_MGR_0056,7130-02    - CARLSBAD HLE,1,0,1,0,COUNTER,COUNTER,(b)31min - 1hr,,ADJUSTER_0070,BODY_SHOP_0056,STF02,037-SAMPLE0608,202602,ZIP_0308,NO SHOW,2026-02-10 14:00:00,2026-02-10 14:42:00,0.0,1.0,42.0,MMR
037-SAMPLE0509,CUSTOMER_0509,CLAIM_0509,1874818,CDP_0088,2026-02-09,2026-02-11,WESTERN,CA,SPAC,AREA_MGR_0033,GEN_MGR_0019,7601-01    - MISSION VALLEY HLE,1,0,0,1,NO CONTACT,NO CONTACT,NO CONTACT,,ADJUSTER_0207,BODY_SHOP_0256,GNL01,037-SAMPLE0609,202602,ZIP_0309, ,2026-02-11 08:45:00,,,,,NO MMR
037-SAMPLE0510,CUSTOMER_0510,CLAIM_0510,2254353,CDP_0095,2026-02-09,2026-02-12,WESTERN,CA,SPAC,AREA_MGR_0009,GEN_MGR_0056,5669-01    - CHULA VISTA HLE,1,0,1,0,COUNTER,COUNTER,(a)<30min,,ADJUSTER_0255,,STF02,037-SAMPLE0610,202602,ZIP_0310,CUSTOMER CANCELLED,2026-02-12 09:30:00,2026-02-12 09:45:00,0.0,0.0,15.0,NO MMR
