CONFIRM_NUM,RENTER_LAST,CLAIM,CDP,CDP NAME,Week Of,INIT_DATE,HTZREGION,SET_STATE,ZONE,AREA_MGR,GENERAL_MGR,RENT_LOC,RES_ID,RENT_IND,CANCEL_ID,UNUSED_IND,CONTACT_GROUP,New Contact Group,CONTACT RANGE,ADJ LNAME,ADJ FNAME,BODY SHOP,CODE,KNUM,MONTH,ZIP,CANCEL REASON,INIT_DT_FINAL,DT_FROM_ALPHA1,DAY_DIF,HRS_DIF,MIN_DIF,MMR
037-SAMPLE1000,CUSTOMER_0001,CLAIM_0052,1238324,State Farm,2026-01-05,2026-01-08,WESTERN,CA,Eastern,K. Chen,D. Williams,5725-01    - Santa Monica HLE,1,0,0,1,HRD - OKC,HRD - OKC,(c)1-3 hrs,,ADJUSTER_0052,Caliber Collision,STF02,037-SAMPLE1000,202601,ZIP_0467, ,2026-01-08,2026-01-08 15:17:00,0,2,0,NO MMR
037-SAMPLE1001,CUSTOMER_0002,CLAIM_0431,1238321,Progressive,2026-02-16,2026-02-17,WESTERN,CA,Eastern,K. Chen,D. Williams,5725-01    - Santa Monica HLE,1,1,0,0,HRD - OKC,HRD - OKC,(d)3-6 hrs,,ADJUSTER_0049,Gerber Collision,STF02,037-SAMPLE1001,202602,ZIP_0138, ,2026-02-17,2026-02-17 17:27:00,0,4,30,NO MMR
037-SAMPLE1002,CUSTOMER_0003,CLAIM_0322,1238323,Progressive,2026-02-09,2026-02-09,WESTERN,CA,Eastern,K. Chen,D. Williams,5725-01    - Santa Monica HLE,1,1,0,0,NO CONTACT,NO CONTACT,NO CONTACT,,ADJUSTER_0050,Service King,STF02,037-SAMPLE1002,202602,ZIP_0290, ,2026-02-09,,0,0,0,NO MMR
037-SAMPLE1003,CUSTOMER_0004,CLAIM_0265,1238322,Allstate,2026-01-19,2026-01-21,WESTERN,CA,Eastern,K. Chen,D. Williams,5725-01    - Santa Monica HLE,1,0,0,1,HRD - OKC,HRD - OKC,(d)3-6 hrs,,ADJUSTER_0049,Maaco,STF02,037-SAMPLE1003,202601,ZIP_0482, ,2026-01-21,2026-01-21 15:17:00,0,4,30,MMR
037-SAMPLE1004,CUSTOMER_0005,CLAIM_0007,1238323,Geico,2026-02-16,2026-02-16,WESTERN,CA,Eastern,K. Chen,D. Williams,5725-01    - Santa Monica HLE,1,0,1,0,COUNTER,COUNTER,(a)<30min,,ADJUSTER_0006,ABRA Auto Body,STF02,037-SAMPLE1004,202602,ZIP_0322,FOUND BETTER RATE,2026-02-16,2026-02-16 16:44:00,0,0,15,NO MMR
037-SAMPLE1005,CUSTOMER_0006,CLAIM_0045,1238322,Progressive,2026-02-16,2026-02-17,WESTERN,CA,Eastern,K. Chen,D. Williams,5725-01    - Santa Monica HLE,1,0,1,0,NO CONTACT,NO CONTACT,NO CONTACT,,ADJUSTER_0048,Caliber Collision,STF02,037-SAMPLE1005,202602,ZIP_0288,MERGE RESERVATION,2026-02-17,,,,,NO MMR
037-SAMPLE1006,CUSTOMER_0007,CLAIM_0124,1238322,Geico,2026-01-05,2026-01-06,WESTERN,CA,Eastern,K. Chen,D. Williams,5725-01    - Santa Monica HLE,1,0,1,0,NO CONTACT,NO CONTACT,NO CONTACT,,ADJUSTER_0065,Gerber Collision,STF02,037-SAMPLE1006,202601,ZIP_0294,,2026-01-06,,,,,NO MMR
037-SAMPLE1007,CUSTOMER_0008,CLAIM_0269,1238323,Liberty Mutual,2026-02-16,2026-02-17,WESTERN,CA,Eastern,K. Chen,D. Williams,5725-01    - Santa Monica HLE,1,0,0,1,NO CONTACT,NO CONTACT,NO CONTACT,,ADJUSTER_0040,Service King,STF02,037-SAMPLE1007,202602,ZIP_0275, ,2026-02-17,,,,,NO MMR
037-SAMPLE1008,CUSTOMER_0009,CLAIM_0243,1238321,Progressive,2026-02-16,2026-02-17,WESTERN,CA,Eastern,K. Chen,D. Williams,5725-01    - Santa Monica HLE,1,0,1,0,NO CONTACT,NO CONTACT,NO CONTACT,,ADJUSTER_0019,Maaco,STF02,037-SAMPLE1008,202602,ZIP_0287,FOUND BETTER RATE,2026-02-17,,,,,NO MMR
037-SAMPLE1009,CUSTOMER_0010,CLAIM_0385,1238322,State Farm,2026-02-16,2026-02-17,WESTERN,CA,Eastern,K. Chen,D. Williams,5725-01    - Santa Monica HLE,1,1,0,0,NO CONTACT,NO CONTACT,NO CONTACT,,ADJUSTER_0072,ABRA Auto Body,STF02,037-SAMPLE1009,202602,ZIP_0452, ,2026-02-17,,,,,NO MMR
