ID,Knum,CSPLIT_REC,TSD_NUM,INVOICE,LocCode,SystemDate,ApplicationDate,EventType,BGN01,SF_TRANS,STAT_FLAG,EXT,MSG1,MSG2,MSG3,MSG4,MSG5,MSG6,MSG7,MSG8,MSG9,MSG10,REQUESTED_DAYS,OFOUR_FROM,OFOUR_TO,CONFIRM_NUM,TIMEZONE,EMP_CODE,EMP_LNAME,EMP_FNAME,FIELD_CHANGED,REZ_NUM,csplitid
1800000000,037-SAMPLE1000,0,0,,9722,20260210102213,202602101022.0,0,54,,,,Rez-CDP Messaging,Initial contact,,,,,,,,,0,,,037-SAMPLE1000,1,EMP_0070,EMP,EMP,,,0
1800000001,037-SAMPLE1000,0,0,,5453,20260211130005,202602111300.0,4,62,,,,Loc-Contact,Event 2,,,,,,,,,0,,,037-SAMPLE1000,1,EMP_0049,EMP,EMP,,,0
1800000002,037-SAMPLE1000,0,0,,3472,20260212084940,202602120849.0,4,30,,,,Loc-Contact,Event 3,,,,,,,,,0,,,037-SAMPLE1000,1,EMP_0050,EMP,EMP,,,0
1800000003,037-SAMPLE1000,0,0,,1676,20260213130333,202602131303.0,1,10,,,,RA-eSignerPrint Interface,Event 4,,,,,,,,,0,,,037-SAMPLE1000,1,EMP_0004,EMP,EMP,,,0
1800000004,037-SAMPLE1000,0,0,,4188,20260214104221,202602141042.0,0,100,,,,Rez-CDP Messaging,Event 5,,,,,,,,,0,,,037-SAMPLE1000,1,EMP_0032,EMP,EMP,,,0
1800000005,037-SAMPLE1001,0,0,,5984,20260113130053,202601131300.0,3,31,,,,Edi-Update,Initial contact,,,,,,,,,0,,,037-SAMPLE1001,1,EMP_0083,EMP,EMP,,,0
1800000006,037-SAMPLE1001,0,0,,982,20260114164636,202601141646.0,1,35,,,,RA-eSignerPrint Interface,Event 2,,,,,,,,,0,,,037-SAMPLE1001,1,EMP_0026,EMP,EMP,,,0
1800000007,037-SAMPLE1001,0,0,,5343,20260115123855,202601151238.0,3,85,,,,Edi-Update,Event 3,,,,,,,,,0,,,037-SAMPLE1001,1,EMP_0012,EMP,EMP,,,0
1800000008,037-SAMPLE1001,0,0,,3609,20260116095816,202601160958.0,0,27,,,,Rez-CDP Messaging,Event 4,Converted,,,,,,,,0,,,037-SAMPLE1001,1,EMP_0069,EMP,EMP,,,0
1800000009,037-SAMPLE1002,0,0,,7946,20260203174640,202602031746.0,4,74,,,,Loc-Contact,Initial contact,,,,,,,,,0,,,037-SAMPLE1002,1,EMP_0086,EMP,EMP,,,0
1800000010,037-SAMPLE1002,0,0,,5155,20260204180258,202602041802.0,3,50,,,,Edi-Update,Event 2,,,,,,,,,0,,,037-SAMPLE1002,1,EMP_0004,EMP,EMP,,,0
1800000011,037-SAMPLE1002,0,0,,8290,20260205161441,202602051614.0,1,32,,,,RA-eSignerPrint Interface,Event 3,,,,,,,,,0,,,037-SAMPLE1002,1,EMP_0045,EMP,EMP,,,0
1800000012,037-SAMPLE1002,0,0,,1575,20260206133340,202602061333.0,4,85,,,,Loc-Contact,Event 4,,,,,,,,,0,,,037-SAMPLE1002,1,EMP_0055,EMP,EMP,,,0
1800000013,037-SAMPLE1002,0,0,,1764,20260207083752,202602070837.0,1,7,,,,RA-eSignerPrint Interface,Event 5,,,,,,,,,0,,,037-SAMPLE1002,1,EMP_0003,EMP,EMP,,,0
1800000014,037-SAMPLE1002,0,0,,112,20260208170454,202602081704.0,3,52,,,,Edi-Update,Event 6,,,,,,,,,0,,,037-SAMPLE1002,1,EMP_0015,EMP,EMP,,,0
1800000015,037-SAMPLE1002,0,0,,9611,20260209161059,202602091610.0,3,94,,,,Edi-Update,Event 7,,,,,,,,,0,,,037-SAMPLE1002,1,EMP_0017,EMP,EMP,,,0
1800000016,037-SAMPLE1002,0,0,,7423,20260210123619,202602101236.0,3,86,,,,Edi-Update,Event 8,,,,,,,,,0,,,037-SAMPLE1002,1,EMP_0055,EMP,EMP,,,0
1800000017,037-SAMPLE1003,0,0,,3550,20260113085611,202601130856.0,1,96,,,,RA-eSignerPrint Interface,Initial contact,,,,,,,,,0,,,037-SAMPLE1003,1,EMP_0067,EMP,EMP,,,0
1800000018,037-SAMPLE1003,0,0,,9289,20260114084740,202601140847.0,0,21,,,,Rez-CDP Messaging,Event 2,,,,,,,,,0,,,037-SAMPLE1003,1,EMP_0043,EMP,EMP,,,0
1800000019,037-SAMPLE1003,0,0,,1108,20260115133629,202601151336.0,0,17,,,,Rez-CDP Messaging,Event 3,,,,,,,,,0,,,037-SAMPLE1003,1,EMP_0066,EMP,EMP,,,0
1800000020,037-SAMPLE1003,0,0,,1428,20260116095553,202601160955.0,0,38,,,,Rez-CDP Messaging,Event 4,,,,,,,,,0,,,037-SAMPLE1003,1,EMP_0020,EMP,EMP,,,0
1800000021,037-SAMPLE1003,0,0,,1534,20260117090742,202601170907.0,3,70,,,,Edi-Update,Event 5,,,,,,,,,0,,,037-SAMPLE1003,1,EMP_0040,EMP,EMP,,,0
1800000022,037-SAMPLE1003,0,0,,5059,20260118120347,202601181203.0,0,95,,,,Rez-CDP Messaging,Event 6,,,,,,,,,0,,,037-SAMPLE1003,1,EMP_0055,EMP,EMP,,,0
