ID,Knum,CSPLIT_REC,TSD_NUM,INVOICE,LocCode,SystemDate,ApplicationDate,EventType,BGN01,SF_TRANS,STAT_FLAG,EXT,MSG1,MSG2,MSG3,MSG4,MSG5,MSG6,MSG7,MSG8,MSG9,MSG10,REQUESTED_DAYS,OFOUR_FROM,OFOUR_TO,CONFIRM_NUM,TIMEZONE,EMP_CODE,EMP_LNAME,EMP_FNAME,FIELD_CHANGED,REZ_NUM,csplitid
1800000000,037-SAMPLE1000,0,0,,1806,20260105171210,202601051712.0,3,30,,,,Edi-Update,Initial contact,,,,,,,,,0,,,037-SAMPLE1000,1,EMP_0080,EMP,EMP,,,0
1800000001,037-SAMPLE1000,0,0,,4096,20260106184741,202601061847.0,4,51,,,,Loc-Contact,Event 2,,,,,,,,,0,,,037-SAMPLE1000,1,EMP_0050,EMP,EMP,,,0
1800000002,037-SAMPLE1000,0,0,,4275,20260107095014,202601070950.0,4,23,,,,Loc-Contact,Event 3,,,,,,,,,0,,,037-SAMPLE1000,1,EMP_0070,EMP,EMP,,,0
1800000003,037-SAMPLE1001,0,0,,2298,20260216111314,202602161113.0,1,46,,,,RA-eSignerPrint Interface,Initial contact,,,,,,,,,0,,,037-SAMPLE1001,1,EMP_0099,EMP,EMP,,,0
1800000004,037-SAMPLE1001,0,0,,6445,20260217132354,202602171323.0,4,69,,,,Loc-Contact,Event 2,,,,,,,,,0,,,037-SAMPLE1001,1,EMP_0042,EMP,EMP,,,0
1800000005,037-SAMPLE1001,0,0,,3600,20260218114642,202602181146.0,0,36,,,,Rez-CDP Messaging,Event 3,,,,,,,,,0,,,037-SAMPLE1001,1,EMP_0031,EMP,EMP,,,0
1800000006,037-SAMPLE1001,0,0,,8068,20260219091535,202602190915.0,0,58,,,,Rez-CDP Messaging,Event 4,Converted,,,,,,,,0,,,037-SAMPLE1001,1,EMP_0056,EMP,EMP,,,0
1800000007,037-SAMPLE1002,0,0,,7401,20260209162210,202602091622.0,3,62,,,,Edi-Update,Initial contact,,,,,,,,,0,,,037-SAMPLE1002,1,EMP_0014,EMP,EMP,,,0
1800000008,037-SAMPLE1002,0,0,,3579,20260210112819,202602101128.0,3,36,,,,Edi-Update,Event 2,Converted,,,,,,,,0,,,037-SAMPLE1002,1,EMP_0030,EMP,EMP,,,0
1800000009,037-SAMPLE1003,0,0,,5687,20260119160822,202601191608.0,3,64,,,,Edi-Update,Initial contact,,,,,,,,,0,,,037-SAMPLE1003,1,EMP_0026,EMP,EMP,,,0
1800000010,037-SAMPLE1003,0,0,,6549,20260120140710,202601201407.0,4,50,,,,Loc-Contact,Event 2,,,,,,,,,0,,,037-SAMPLE1003,1,EMP_0045,EMP,EMP,,,0
1800000011,037-SAMPLE1003,0,0,,1491,20260121155800,202601211558.0,4,49,,,,Loc-Contact,Event 3,,,,,,,,,0,,,037-SAMPLE1003,1,EMP_0036,EMP,EMP,,,0
1800000012,037-SAMPLE1003,0,0,,357,20260122083811,202601220838.0,0,4,,,,Rez-CDP Messaging,Event 4,,,,,,,,,0,,,037-SAMPLE1003,1,EMP_0072,EMP,EMP,,,0
1800000013,037-SAMPLE1004,0,0,,2351,20260216152607,202602161526.0,4,5,,,,Loc-Contact,Initial contact,,,,,,,,,0,,,037-SAMPLE1004,1,EMP_0064,EMP,EMP,,,0
